"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임업외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","기초_자본(순재산)","기말_자본(순재산)","연초보유","연말보유","가중치"
11021,4,31,1,5,1,1,40160450,40160450,39660450,7644100,32016350,500000,0,74544000,43403000,31141000,9019450,-34383550,10600000,2955900,-183650,0,183650,32200000,32200000,0,0,0,1840986100,1819953800,1000000,1000000,27.5714285714286
11031,4,31,2,7,1,1,28091840,28091840,27691840,-1039870,28731710,400000,0,40912676,35396346,5516330,22575510,-12820836,0,1039870,28431710,29370000,938290,300000,300000,0,0,0,375691500,367741000,400000,400000,65.9
11068,4,31,2,5,1,1,15756740,15176740,10706740,-655980,11362720,4470000,580000,41005600,36126630,4878970,10877770,-25248860,190300,846280,-637280,90025,727305,12000000,12000000,0,7147840,4901500,509337700,498388000,300000,300000,67
11071,5,31,1,5,1,1,-27675760,-28075760,-35175760,-32423910,-2751850,7100000,400000,31824940,25858786,5966154,-33641914,-59500700,2000000,34423910,-2751850,0,2751850,0,0,0,0,6930000,555021000,526828600,1000000,1000000,27.5714285714286
11072,4,31,2,5,1,1,22504870,20504870,8372870,-1171130,9544000,12132000,2000000,49434287,46957757,2476530,20028340,-26929417,200000,1371130,8544000,8544000,0,1000000,1000000,0,11075390,11300000,1810223400,1776156800,500000,500000,212.666666666667
11278,5,31,3,8,2,1,20257645,20057645,2104925,-1254341,3359266,17952720,200000,23626216,20998676,2627540,17630105,-3368571,340400,1594741,3359266,3467250,107984,0,0,0,10818467,10746507,247322300,241365300,1000000,1000000,39.9230769230769
11324,4,31,2,5,1,1,-2855896,-2855896,-2855896,-8269650,5413754,0,0,39019854,33811757,5208097,-8063993,-41875750,0,8269650,4213754,7757500,3543746,1200000,1200000,0,2300000,1170000,1097724600,1078893400,0,240000,11.8181818181818
11331,4,31,1,6,1,1,23272140,23272140,22906140,22173540,732600,366000,0,50299242,46574832,3724410,19547730,-27027102,43636800,21463260,732600,2201350,1468750,0,0,0,0,8355068,397035500,417324000,0,7500000,10.0769230769231
11368,4,31,3,2,1,1,28069600,25069600,17829820,11971020,5858800,7239780,3000000,12849786,11689786,1160000,26909600,15219814,12126000,154980,2018800,7985500,5966700,3840000,3840000,0,0,0,117727400,113528000,0,140000,34.25
11369,4,31,3,1,2,2,36340025,36340025,28330025,-5133310,33463335,8010000,0,42202330,38230830,3971500,32368525,-5862305,-4500000,633310,19623335,33861300,14237965,13840000,13840000,0,0,1450000,601368300,574644600,0,600000,51
11370,4,31,3,1,4,2,50853689,44677671,32951449,2680554,30270895,11726222,6176018,52829021,46113103,6715918,44137771,-1975332,4980600,2300046,28770495,50876280,22105785,1500400,1500400,0,39106102,9757618,1654604040,1587746440,0,624000,51
11371,3,31,3,1,1,2,-3990681,-3990681,-4390681,-5527900,1137219,400000,0,67173315,53159053,14014262,-18004943,-71163996,3200000,8727900,-974584,6702000,7676584,2111803,2111803,0,11946250,3040000,1578280640,1537198690,0,400000,51
11372,4,31,3,2,2,3,35299045,35299045,20456045,23698820,-3242775,14843000,0,39968270,36406650,3561620,31737425,-4669225,23787500,88680,-3242775,15777085,19019860,0,0,0,4395000,1320000,1352425740,1324223840,0,200000,34.25
11373,4,31,3,8,1,3,50435611,50435611,36168001,12991263,23176738,14267610,0,23404843,22240523,1164320,49271291,27030768,13363954,372691,9466105,11224953,1758848,13710633,13710633,0,0,3020000,503780900,497648300,0,450000,30.1282051282051
11374,4,31,3,8,1,1,22385846,20385846,13995646,8558922,5436724,6390200,2000000,9284223,9284223,0,22385846,13101623,8815400,256478,-203276,623000,826276,5640000,5640000,0,215300,2695500,293313940,294456440,0,150000,30.1282051282051
11375,5,31,3,1,1,2,27579856,27579856,26779856,4017807,22762049,800000,0,22213301,20329001,1884300,25695556,5366555,4200000,182193,-1237951,1470000,2707951,24000000,24000000,0,0,0,1261194500,1254742600,0,870000,51
11377,5,31,2,6,1,1,-12843269,-12843269,-17743269,-27189130,9445861,4900000,0,28077320,27597320,480000,-13323269,-40920589,27651000,54840130,3745861,5170000,1424139,5700000,5700000,0,0,0,1238853600,1211414100,0,500000,10.0769230769231
11378,3,31,3,3,3,1,86620435,72693130,71606090,-1582460,73188550,1087040,13927305,96151830,82884966,13266864,73353571,-9531395,870000,2452460,-806495,710100,1516595,73995045,73995045,0,16197000,12345000,314566400,311222200,0,620000,24
11379,3,31,3,5,3,3,26892500,26892500,25992500,-8266000,34258500,900000,0,62593442,52178798,10414644,16477856,-35700942,1500000,9766000,11790500,17333100,5542600,22468000,22468000,0,765000,1000000,910507430,890993430,0,550000,11.8181818181818
