"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
5139,5,35,2,5,1,1,13285302,11785302,-2769118,-4465488,1696370,14554420,1500000,28732694,26739284,1993410,11291892,-15447392,-3658000,807488,845870,1500250,654380,850500,850500,0,17771402,10883886,78.5
5140,5,35,2,7,1,1,27792745,21279235,7557055,8000700,-443645,13722180,6513510,19287621,14736986,4550635,23242110,8505124,14218000,6217300,-443645,4226500,4670145,0,0,0,7958035,16808547,70.1142857142857
5141,4,35,3,5,1,1,53218073,42216573,30819563,15406549,15413014,11397010,11001500,26665036,24030536,2634500,50583573,26553037,18714000,3307451,15098014,37922600,22824586,315000,315000,0,10852572,18000000,61.2222222222222
5142,3,35,3,4,1,1,30579360,30279360,30279360,12289290,17990070,0,300000,20546545,15727545,4819000,25760360,10032815,16000000,3710710,-4689930,0,4689930,22680000,22680000,0,14350000,1200000,191.2
5143,3,35,2,6,2,2,69996264,69996264,68729904,63923579,4806325,1266360,0,67136750,48192298,18944452,51051812,2859514,174730877,110807298,-3961900,17120,3979020,8768225,8768225,0,91900000,260620126,18.2333333333333
5144,2,35,2,6,2,1,64340586,62340586,54906716,7283898,47622818,7433870,2000000,84413020,70484020,13929000,50411586,-20072434,9016000,1732102,47622818,61847078,14224260,0,0,0,28458307,36936424,33.5
5145,4,35,2,7,1,1,44841430,42651430,36531430,24548000,11983430,6120000,2190000,20624979,18988979,1636000,43205430,24216451,35224000,10676000,11983430,20771330,8787900,0,0,0,15655400,33500000,47
5146,4,35,2,7,1,1,10222319,10122319,1328319,-285169,1613488,8794000,100000,18831429,18231429,600000,9622319,-8609110,8084000,8369169,506488,4920870,4414382,1107000,1107000,0,15700000,6094077,70.1142857142857
5148,4,35,3,4,2,1,41535053,34351454,27411744,-5540866,32952610,6939710,7183599,35402270,32268560,3133710,38401343,6132783,7934820,13475686,32543110,47219610,14676500,409500,409500,0,7301892,18738540,191.2
5149,3,35,2,7,3,1,-110282547,-110282547,-110282547,-108962937,-1319610,0,0,73331316,49648186,23683130,-133965677,-183613863,41200000,150162937,-1319610,0,1319610,0,0,0,187915440,17677400,47
5150,4,35,3,4,3,1,49368860,48868860,48868860,31122669,17746191,0,500000,43173166,40058526,3114640,46254220,6195694,43575919,12453250,17746191,23626921,5880730,0,0,0,14666670,29407389,70.1142857142857
5151,4,35,3,5,1,1,105195180,104772440,89196840,84303423,4893417,15575600,422740,52675666,39048826,13626840,91568340,52519514,108469200,24165777,156867,1791218,1634351,4736550,4736550,0,44075786,24368190,70.1142857142857
5152,5,35,2,7,1,1,36330273,36330273,33044313,33118743,-74430,3285960,0,30299500,27071160,3228340,33101933,6030773,35600000,2481257,-74430,0,74430,0,0,0,21307140,600000,70.1142857142857
5153,5,35,2,8,1,2,6830844,6330844,-378836,-682736,303900,6709680,500000,14725045,13844805,880240,5950604,-7894201,3396000,4078736,303900,540870,236970,0,0,0,7300000,2800000,169.272727272727
5154,4,35,3,7,1,1,-4512485,-4512485,-8053685,-2648844,-5404841,3541200,0,8292578,6854868,1437710,-5950195,-12805063,0,2648844,-5404841,5203000,10607841,0,0,0,14100000,3900000,37.921568627451
5155,4,35,3,5,1,1,7660580,7660580,7375580,873183,6502397,285000,0,29608557,24415857,5192700,2467880,-21947977,3454500,2581317,6502397,16921000,10418603,0,0,0,35810807,8113000,121.821428571429
5156,5,35,3,5,1,1,17519950,14919950,10448900,3940230,6508670,4471050,2600000,9844490,9374890,469600,17050350,7675460,4191200,250970,6088670,7124070,1035400,420000,420000,0,0,9000000,121.821428571429
5157,4,35,3,5,1,1,44350998,42096343,33044463,10220938,22823525,9051880,2254655,30632666,23979213,6653453,37697545,13718332,13753800,3532862,22403525,29671176,7267651,420000,420000,0,28108770,34614962,121.821428571429
5159,5,35,2,5,1,1,9347380,8303652,3640092,3380562,259530,4663560,1043728,20310386,17483448,2826938,6520442,-10963006,3770000,389438,259530,1029000,769470,0,0,0,12660210,1200000,121.821428571429
