"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1028,4,32,3,8,1,1,17538417,15978417,4994417,1839300,3155117,10984000,1560000,10355593,10063473,292120,17246297,7182824,1955000,115700,-537883,1260000,1797883,3693000,3693000,0,0,3500000,218732600,214687856,1672500,1609956,180.869565217391
1029,5,32,3,4,1,1,18828916,17008916,9195616,3741550,5454066,7813300,1820000,32892626,26462214,6430412,12398504,-14063710,3914550,173000,5454066,9731500,4277434,0,0,0,20000000,30600000,685694300,676552110,1478900,1571010,203
1030,5,32,3,4,2,1,21490565,19189565,10163955,4418500,5745455,9025610,2301000,7210680,6832590,378090,21112475,14279885,4842000,423500,5745455,7708811,1963356,0,0,0,5600000,0,297656600,288028260,1514500,1435460,203
1031,5,32,3,4,1,1,29138221,17672221,10333321,121590,10211731,7338900,11466000,31220358,24785058,6435300,22702921,-2082137,708000,586410,9431731,10572271,1140540,780000,780000,0,0,4100000,455454100,439536530,2023400,1519030,203
1032,5,32,3,4,1,1,8410090,8410090,914210,1387500,-473290,7495880,0,2887220,2887220,0,8410090,5522870,1712500,325000,-473290,0,473290,0,0,0,158480,0,237709580,233372313,1410200,1436913,203
1033,4,32,3,6,3,1,8589095,6379095,6379095,868550,5510545,0,2210000,34265450,33021960,1243490,7345605,-25676355,2741550,1873000,4840545,7741750,2901205,670000,670000,0,32320000,3055463,263387837,222945396,1488100,2771796,17.6451612903226
1034,4,32,2,6,3,1,24440070,24440070,15680970,7701520,7979450,8759100,0,20085880,17181580,2904300,21535770,4354190,30253650,22552130,-720550,0,720550,8700000,8700000,0,13500000,1350000,77824200,49555480,1599400,1657480,17.6451612903226
1035,5,32,3,3,2,1,21062032,19040532,6441532,-17440,6458972,12599000,2021500,23240210,21436210,1804000,19258032,-2178178,1099800,1117240,3519972,5446900,1926928,2939000,2939000,0,0,6690000,227581800,229193800,2847600,1311800,151.8
1036,5,32,3,2,1,1,9778220,9388220,1825620,1670670,154950,7562600,390000,21295200,20345200,950000,8828220,-11516980,2100000,429330,154950,350000,195050,0,0,0,0,0,307716200,297118960,1416200,1199760,24.1818181818182
1037,3,32,3,3,1,1,-14652744,-14652744,-14652744,-10370825,-4281919,0,0,14796228,12558668,2237560,-16890304,-29448972,10552050,20922875,-4281919,2282100,6564019,0,0,0,0,26652000,117110300,139622420,1907500,2469020,151.8
