"조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","표고목 눕히기_시간_만본당","표고목 뒤집기_시간_만본당","표고목 벌채_시간_만본당","표고목 세우기_시간_만본당","표고목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
16308065,0.18,0,0.18,0,0,0.18,0,0.18,0,0,0,0,0,0,0,6000,0,104400,472000,0,0,0,0,28750,18750,0,18750,500000,660000,0,660000,3073066.66666667,0,0,3073066.66666667,17431965,76105.625,48368.5491666667,124474.174166667,345,0,345,3329716.66666667,0,3329716.66666667,0,206.666666666667,190,16.6666666666667,0,0,0,6.66666666666667,0,213.333333333333,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,50,0,53.3333333333333,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3857540.84083333,-14102248.3333333,20505031.6666667,784474.174166667,21289505.8408333,-17959789.1741667,14.0909090909091
16308065,0.23,0,0,0.23,0,0.23,0,0,0.23,0,0,0,0,0,0,10000,0,615312,0,0,0,0,0,0,404516.666666667,122200,526716.666666667,222720,138600,0,138600,1885320,0,0,1885320,17672813.6666667,201254.797433333,32883.3108,234138.108233333,254,0,254,2260600,0,2260600,0,152,75,77,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,14,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258058.10823333,-15412213.6666667,19558133.6666667,372738.108233333,19930871.7749,-17670271.7749,14.2
16308065,0.23,0,0.23,0,0,0.23,0,0.23,0,0,0,0,0,0,0,7000,0,197537.142857143,0,0,0,0,0,0,7857.14285714286,19234.2857142857,27091.4285714286,262285.714285714,544500,0,544500,3113830,0,0,3113830,16794979.2857143,55183.5617142857,43544.4779285714,98728.0396428572,17.1428571428571,1938,1955.14285714286,152571.428571429,16951686,17104257.4285714,0,208.571428571429,198.571428571429,10,0,0,0,5.71428571428571,0,214.285714285714,0,0,0,17.1428571428571,0,0,0,0,0,28.5714285714286,88.5714285714286,0,0,0,0,0,0,0,0,0,5.71428571428571,0,12.8571428571429,0,0,0,0,0,0,0,61.4285714285714,0,0,0,0,0,0,0,0,0,3757058.03964286,309278.142857142,19908809.2857143,643228.039642857,20552037.3253571,-3447779.89678571,14.2
16308065,0.26,0,0.26,0,0,0,0,0,0,0,0.26,0,0.26,0,0,6000,0,0,0,0,0,0,0,44083.3333333333,705000,73547.3684210526,778547.368421053,550000,0,1815000,1815000,4871190,0,0,4871190,19495695.7017544,207865.458618421,64635.8443333333,272501.302951754,1828.33333333333,0,1828.33333333333,14550500,0,14550500,0,333.333333333333,333.333333333333,0,0,0,0,0,0,333.333333333333,0,0,0,0,0,0,0,0,0,51.6666666666667,198.333333333333,0,0,0,0,0,0,0,0,0,63.3333333333333,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,5143691.30295175,-4945195.70175439,22551885.7017544,2087501.30295175,24639387.0047061,-10088887.0047061,11.2
16308065,0.26,0.23,0.03,0,0,0.26,0.23,0.03,0,0,0,0,0,0,0,5000,0,739080,384000,0,0,0,0,118450,1096500,88128,1184628,2010000,163352,0,163352,4017604,1040000,30000,5087604,21790391.9290027,366185.4726,83228.1121,449413.5847,1304,0,1304,5216800,0,5216800,0,276,274,2,64,64,0,0,0,340,0,0,0,8,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,148,0,74,0,0,0,0,0,0,0,4654200.65569725,-16573591.9290027,25831827,612765.5847,26444592.5847,-21227792.5847,14.2
16308065,0.27,0.27,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,5000,0,273656,0,0,0,0,0,0,248783.333333333,685440,934223.333333333,0,871200,0,871200,1832360,0,0,1832360,17515944.3333333,143574.13275,27694.1104,171268.24315,0,2598.96,2598.96,0,22733103.12,22733103.12,0,180,0,180,0,0,0,0,0,180,0,0,0,32,0,0,0,0,0,26,102,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874828.24315,5217158.78666667,19348304.3333333,1042468.24315,20390772.5764833,2342330.54351667,14.2
16308065,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,10000,0,435024,0,0,0,0,0,0,81748.3333333333,68842.1052631579,150590.438596491,525000,653400,0,653400,6471604,0,0,6471604,17418679.4385965,136168.747623684,90822.1582,226990.905823684,2166,0,2166,15857400,0,15857400,0,509,257,252,0,0,0,6,0,515,0,0,0,0,0,0,0,0,0,78,405,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,7351994.90582368,-1561279.43859649,23890283.4385965,880390.905823684,24770674.3444202,-8913274.34442018,11.2
16308065,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,7000,0,630257.142857143,0,0,0,0,0,0,137785.714285714,98345.8646616541,236131.578947368,642857.142857143,933428.571428571,0,933428.571428571,10620701.4285714,0,0,10620701.4285714,17817310.8646617,195463.325319549,147950.105214286,343413.430533835,3257.14285714286,0,3257.14285714286,20682857.1428571,0,20682857.1428571,0,855.714285714286,418.571428571429,437.142857142857,0,0,0,0,0,855.714285714286,0,0,0,0,0,0,0,0,0,111.428571428571,715.714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85714285714286,0,0,0,0,0,0,0,25.7142857142857,0,0,0,0,0,0,11897543.4305338,2865546.27819549,28438012.2932331,1276842.00196241,29714854.2951955,-9031997.15233834,11.2
16308065,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0,10400,0,584653.846153846,0,0,0,0,0,506442.307692308,84216.3461538462,49802.4291497976,134018.775303644,264807.692307692,0,209423.076923077,209423.076923077,10931145.1923077,0,0,10931145.1923077,18007410.6983806,95115.9411336032,158092.473701923,253208.414835526,0,2018.42307692308,2018.42307692308,0,17655146.6538462,17655146.6538462,0,875.961538461538,446.153846153846,429.807692307692,0,0,0,0,0,875.961538461538,0,0,0,21.1538461538462,0,0,0,0,0,0,314.423076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.692307692308,188.461538461538,0,119.230769230769,0,0,0,0,0,0,0,11184353.6071432,-352264.044534415,28729132.8137652,462631.491758603,29191764.3055238,-11536617.6516776,14.2
16308065,0.3,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0,68500,0,56317.6642335766,0,0,0,0,0,118861.313868613,8039.41605839416,14294.8905109489,22334.3065693431,148905.109489051,0,71540.1459854015,71540.1459854015,302186.569343066,0,0,302186.569343066,16726023.540146,35423.535270073,6277.35694890511,41700.8922189781,2.62773722627737,0,2.62773722627737,13532.8467153285,0,13532.8467153285,0,23.9416058394161,13.1386861313869,10.8029197080292,0,0,0,0,0,23.9416058394161,0,0,0,2.33576642335766,0,0,0,0,0,0,3.5036496350365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1021897810219,0,0,0,0,0,0,0,343887.461562044,-16712490.6934307,16956669.9635036,113241.03820438,17069911.001708,-17056378.1549927,14.2
