"연령별","지역별","규모별","조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","전/겸업별","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","표고목 눕히기_시간_만본당","표고목 뒤집기_시간_만본당","표고목 벌채_시간_만본당","표고목 세우기_시간_만본당","표고목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
2,36,3,16652231,2.1,0,0,2.1,0,2.1,0,0,2.1,0,0,0,0,0,0,21000,2,0,340095.238095238,10476.1904761905,0,10476.1904761905,0,689619.047619048,13333.3333333333,787301.587301587,168661.654135338,955963.241436926,238095.238095238,117209.523809524,0,117209.523809524,5280061.42857143,0,0,5280061.42857143,18910289.4795322,230096.25072594,68780.0935870714,298876.344313011,5.71428571428571,4488,4493.71428571429,60000,47042400,47102400,0,219.047619047619,122.380952380952,96.6666666666667,0,0,0,96.6666666666667,0,315.714285714286,0,0,0,0,0,0,0,0,0,22.8571428571429,154.285714285714,0,0,0,0,0,0,0,0,0,96.6666666666667,0,0,0,0,8.57142857142857,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,5696147.29669396,28192110.5204678,24190350.9081036,416085.868122535,24606436.7762261,22495963.2237739,5.30769230769231
2,36,3,16652231,2.31,0,0,2.31,0,2.31,0,0,2.31,0,0,0,0,0,0,33000,2,0,62575.7575757576,0,0,0,272727.272727273,0,185421.212121212,193171.717171717,73492.8229665072,266664.540138224,177777.777777778,121212.121212121,0,121212.121212121,2115232.12121212,400000,9090.90909090909,2524323.03030303,18018843.2971395,71542.449480404,33013.3367643636,104555.786244768,129.393939393939,3065.87272727273,3195.26666666667,1613636.36363636,33560163.6363636,35173800,0,138.787878787879,49.0909090909091,89.6969696969697,0,0,0,12.1212121212121,31.5151515151515,182.424242424242,0,0,0,0,0,0,0,0,0,28.4848484848485,110.30303030303,0,0,0,0,0,0,0,0,0,14.5454545454545,0,0,0,0,0,0,0,0,24.2424242424242,0,0,0,4.84848484848485,0,0,0,0,0,0,2348645.20096064,17154956.7028605,20141720.5906433,225767.907456889,20367488.4981002,14806311.5018998,5.30769230769231
2,36,3,16652231,2.4,0,0,2.4,0,2.4,0,0,2.4,0,0,0,0,0,0,23000,2,0,254608.695652174,9565.21739130435,0,4347.82608695652,295652.173913043,267826.086956522,350000,189927.536231884,80000,269927.536231884,191304.347826087,110869.565217391,0,110869.565217391,4885172.60869565,139130.434782609,0,5024303.04347826,18434593.3188406,97049.2656630435,67286.5653913261,164335.83105437,13.9130434782609,4097.73913043478,4111.65217391304,146454.782608696,43398782.6086956,43545237.3913043,0,248.260869565217,244.782608695652,3.47826086956522,0,0,0,43.4782608695652,6.95652173913044,298.695652173913,0,0,0,0,0,0,0,0,0,33.4782608695652,115.217391304348,0,0,0,0,0,0,0,0,0,43.4782608695652,0,0,0,0,20.4347826086957,0,0,0,0,0,0,86.0869565217391,0,0,0,0,0,0,0,5160378.00496741,25110644.0724638,23319765.9275362,275205.396271761,23594971.323808,19950266.0674963,5.30769230769231
2,36,3,16652231,2.65,0,0,2.65,0,2.65,0,0,2.65,0,0,0,0,0,0,28000,2,0,148214.285714286,0,0,90000,0,0,340603.571428571,65119.0476190476,27368.4210526316,92487.4686716792,219047.619047619,210714.285714286,0,210714.285714286,4049151.42857143,0,0,4049151.42857143,17542583.9448622,51704.616839599,50174.8232064643,101879.440046063,64.6428571428571,3241.05,3305.69285714286,646758.214285714,35651550,36298308.2142857,1785.71428571429,167.142857142857,141.428571428571,25.7142857142857,0,0,0,65.7142857142857,0,232.857142857143,0,0,0,0,0,0,0,0,0,3.57142857142857,90.7142857142857,0,0,0,0,0,0,0,0,0,8.57142857142857,0,0,0,0,0,0,0,0,0,0,87.1428571428571,42.8571428571429,0,0,0,0,0,0,0,4361745.15433178,18755724.2694236,21591735.3734336,312593.725760349,21904329.0991939,14393979.1150918,5.30769230769231
2,36,3,16652231,3.3,0,0,3.3,0,3.3,0,0,3.3,0,0,0,0,0,0,41000,1,0,6097.56097560976,0,0,0,160975.609756098,0,74297.5609756098,177868.292682927,35491.6559691913,213359.948652118,379024.390243902,263414.634146341,0,263414.634146341,1257476.09756098,879268.292682927,91951.2195121951,2228695.6097561,18403092.2030203,55286.1571829191,28445.5068240976,83731.6640070167,16.3414634146341,2619.16097560976,2635.50243902439,137298.292682927,28685385.3658537,28822683.6585366,0,83.9024390243902,45.8536585365854,38.0487804878049,60.4878048780488,19.5121951219512,40.9756097560976,3.90243902439024,15.609756097561,163.90243902439,0,0,0,0,0,0,0,0,0,14.6341463414634,95.609756097561,0,0,0,0,0,0,0,0,0,3.90243902439024,0,0,0,0,0,0,5.85365853658537,0,9.75609756097561,0,0,34.1463414634146,0,0,0,0,0,0,0,1658735.77549252,10419591.4555163,19714681.6803594,347146.298153358,20061827.9785128,8760855.68002379,5.30769230769231
2,37,1,16652231,0.12,0,0,0.12,0,0,0,0,0,0,0.12,0,0,0.12,0,5100,2,0,176470.588235294,0,0,0,0,0,19607.8431372549,3156862.74509804,215190.918472652,3372053.66357069,705882.352941177,0,1176470.58823529,1176470.58823529,6138084.31372549,0,0,6138084.31372549,22102716.0361197,593888.35672033,68672.7755253922,662561.132245722,1729.41176470588,0,1729.41176470588,23564705.8823529,0,23564705.8823529,0,388.235294117647,388.235294117647,0,0,0,0,0,0,388.235294117647,0,0,0,21.5686274509804,0,0,0,0,0,56.8627450980392,188.235294117647,0,0,0,0,0,0,0,0,0,31.3725490196078,0,0,0,0,11.7647058823529,0,0,0,0,0,0,78.4313725490196,0,0,0,0,0,0,0,6800645.44597121,1461989.84623323,27064329.7616099,1839031.72048102,28903361.4820909,-5338655.59973798,11.2
2,37,1,16652231,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,7000,2,0,144285.714285714,0,0,0,0,0,28571.4285714286,110228.571428571,78676.6917293233,188905.263157895,952380.952380952,933428.571428571,0,933428.571428571,4324508.57142857,0,0,4324508.57142857,17966374.358396,184225.565422541,48758.8649962857,232984.430418827,1800,918,2718,14400000,10098000,24498000,0,280,180,100,0,0,0,11.4285714285714,0,291.428571428571,0,0,0,0,0,0,0,0,0,28.5714285714286,234.285714285714,0,0,0,0,0,0,0,0,0,11.4285714285714,0,0,0,0,0,0,0,0,0,17.1428571428571,0,0,0,0,0,0,0,0,0,5490921.57327597,6531625.64160401,22290882.9298246,1166413.0018474,23457295.931672,1040704.06832805,11.2
2,37,1,16652231,0.9,0,0,0.9,0,0.9,0,0,0.9,0,0,0,0,0,0,8000,2,0,550000,162500,0,0,37500,0,0,4170885,240677.052631579,4411562.05263158,1071000,375000,0,375000,17564218.75,157850,0,17722068.75,23042643.0526316,477802.49244238,200267.704163437,678070.196605817,3246.25,1499.4,4745.65,32578200,16493400,49071600,0,1100,716.25,383.75,10,10,0,67.5,0,1177.5,40,0,0,30,0,0,0,0,0,0,895,0,0,0,0,0,10,0,0,0,60,0,0,0,0,20,0,25,0,22.5,60,0,0,0,15,0,0,0,0,0,18617288.9466058,26028956.9473684,40606861.8026316,1053070.19660582,41659931.9992374,7411668.0007626,11.2
2,37,2,16652231,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,10000,2,0,107000,20000,0,0,0,0,25000,65398.6666666667,55073.6842105263,120472.350877193,666666.666666667,653400,0,653400,3798986,0,0,3798986,17591370.0175439,126704.202980339,42835.2073669,169539.410347239,800,714,1514,6400000,7854000,14254000,0,238,170,68,0,0,0,12,0,250,0,0,0,0,0,0,0,0,0,16,210,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4621925.41034724,-3337370.01754386,21390356.0175439,822939.410347239,22213295.4278911,-7959295.4278911,11.2
2,99,1,16652231,0.4,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0.4,0,6000,2,0,0,0,0,0,0,0,0,73777.7777777778,52000,125777.777777778,1277777.77777778,0,100000,100000,3641708.33333333,0,0,3641708.33333333,18155786.5555556,121055.936495556,39482.1271520833,160538.063647639,1200,1071,2271,13800000,11781000,25581000,0,241.666666666667,191.666666666667,50,0,0,0,0,0,241.666666666667,0,0,0,0,0,0,0,0,0,0,241.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802246.39698097,7425213.44444445,21697494.8888889,260538.063647639,21958032.9525365,3622967.04746348,12.9166666666667
