"지역","업종구분","경영형태","경영주 성별","연령","종사 기간별","전겸업 여부","겸업 주 업종","산림 소유 여부","산림 규모별","산림 임차 여부","임차한 산림 면적","재배장 면적 노지재배지_본인 소유","재배장 면적 노지재배지_임차","재배장 면적 시설재배사_본인 소유","재배장 면적  시설재배사_임차","재배장 면적 시설(톱밥) 재배사_본인 소유","재배장 면적 시설(톱밥) 재배사_임차","표고버섯 평균 재배본수","톱밥배지 표고 재배 전향 의향 여부","톱밥배지 표고 재배형태","톱밥배지 평균 중량","톱밥배지 수량","가구 총 수입","임업 총 수입","생표고_생산량","생표고_생산량_없음","생표고_생산량_포전판매","생표고 판매량_원물","생표고 판매량_원물_없음","생표고 판매량_원물_포전판매","생표고 판매량_가공","생표고 판매량_가공_없음","생표고 판매량_가공_포전판매","생표고 판매 수입_원물","생표고 판매 수입_원물_없음","생표고 판매 수입_원물_포전판매","생표고 판매 수입_가공","생표고 판매 수입_가공_없음","생표고 판매 수입_가공_포전판매","건표고_생산량","건표고_생산량_없음","건표고_생산량_포전판매","건표고 판매량_원물","건표고 판매량_원물_없음","건표고 판매량_원물_포전판매","건표고 판매량_가공","건표고 판매량_가공_없음","건표고 판매량_가공_포전판매","건표고 판매 수입_원물","건표고 판매 수입_원물_없음","건표고 판매 수입_원물_포전판매","건표고 판매 수입_가공","건표고 판매 수입_가공_없음","건표고 판매 수입_가공_포전판매","톱밥배지_생산량","톱밥배지_생산량_없음","톱밥배지_생산량_포전판매","톱밥배지 판매량_원물","톱밥배지 판매량_원물_없음","톱밥배지 판매량_원물_포전판매","톱밥배지 판매량_가공","톱밥배지 판매량_가공_없음","톱밥배지 판매량_가공_포전판매","톱밥배지 판매 수입_원물","톱밥배지 판매 수입_원물_없음","톱밥배지 판매 수입_원물_포전판매","톱밥배지 판매 수입_가공","톱밥배지 판매 수입_가공_없음","톱밥배지 판매 수입_가공_포전판매","가장 많이 판매한 가공품 1","가장 많이 판매한 가공품 2","가장 많이 판매한 가공품 3","작년 생산한 임산물 중 재고여부","작년 생산한 임산물 재고량","주요 판매처 비율_농협","주요 판매처 비율_산림조합","주요 판매처 비율_수집상","주요 판매처 비율_가공업체","주요 판매처 비율_도소매상","주요 판매처 비율_직거래","주요 판매처 비율_기타","직거래 임산물 판매방법_전화 주문","직거래 임산물 판매방법_인터넷 주문","직거래 임산물 판매방법_온라인 판매_기타","직거래 임산물 판매방법_온라인 판매_기타항목","직거래 임산물 판매방법_직접 판매","직거래 임산물 판매방법_임산물 축제","직거래 임산물 판매방법_오프라인 판매_기타","직거래 임산물 판매방법_오프라인 판매_기타항목","코로나 온라인 판매량","작년 판매대금 결제방법_1개월 이내 현금","작년 판매대금 결제방법_후불(어음 또는 1개월 이후 현금)","작년 판매대금 결제방법_선도금","작년 판매대금 결제방법_기타","생표고 평균 저장개월","폐골목 처리 방법","투입비용_표고지목 구입비(원목)/톱밥배지 구입비(톱밥)","투입비용_종균비","투입비용_기타재료비","투입비용_수도광열비","투입비용_임차료","투입비용_수선비","투입비용_인건비","투입비용_기타","보유시설 및 장비_건조기","보유시설 및 장비_기계톱","보유시설 및 장비_저온 저장고","보유시설 및 장비_드릴","보유시설 및 장비_천공기","보유시설 및 장비_자동 접종기","보유시설 및 장비_종균 성형기","보유시설 및 장비_소형 화물차","보유시설 및 장비_경운기","보유시설 및 장비_양수기","보유시설 및 장비_예취기","보유시설 및 장비_기타","총 인원 수-고용남성(男)","총 인원 수-고용여성(女)","총 인원 수-자가남성(男)","총 인원 수-자가여성(女)","1인당 평균 작업 일 수-고용남성(男)","1인당 평균 작업 일 수-고용여성(女)","1인당 평균 작업 일 수-자가남성(男)","1인당 평균 작업 일 수-자가여성(女)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-고용남성(男)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-고용여성(女)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-자가남성(男)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-자가여성(女)","고용노동력 확보지역","작년 생산비 조달 방법_자부담","작년 생산비 조달 방법_정부 보조","작년 생산비 조달 방법_정부 융자","작년 생산비 조달 방법_금융기관 융자","작년 생산비 조달 방법_수집상 선도금","작년 생산비 조달 방법_기타","버섯 재배업 전망","버섯 재배업 전망이유_긍정","버섯 재배업 전망이유_부정","3년간 생산량 변화","3년간 소득 변화","버섯 재배업 재배계획","버섯 재배 늘리려는 이유","버섯 재배 줄이려는 이유","버섯 재배업 애로사항","버섯 재배업 개선 필요 사항","가장 시급한 산림정책","공식 인증 여부","받은 공식인증_친환경 인증","받은 공식인증_지리적 표시제","받은 공식인증_GAP(추진이력제)","받은 공식인증_품질 인증","받은 공식인증_기타","사업 정보 획득 경로","임업경영체 등록여부","임업관련 지원금 수혜여부_산림경영기반조성(숲가꾸기 및 임도시설)","임업관련 지원금 수혜여부_산림경영기반조성(전문임업인기반조성)","임업관련 지원금 수혜여부_산양삼 생산","임업관련 지원금 수혜여부_귀산촌인 창업 및 주택구입 지원","임업관련 지원금 수혜여부_단기산림소득지원","임업관련 지원금 수혜여부_단기산림소득지원 관련 보조수반 융자사업","임업관련 지원금 수혜여부_조림목 묘목 생산","임업관련 지원금 수혜여부_목재이용활성화 지원","임업관련 지원금 수혜여부_임업인경영자금 지원","임업관련 지원금 수혜여부_임업인 재해복구 긴급지원","임업관련 지원금 수혜여부_산림소득 유통분야 공모사업","임업관련 지원금 수혜여부_임산물 수출지원","임업관련 지원금 수혜여부_임산물 판로지원 사업","임업관련 지원금 수혜여부_없음","산림청에 바라는 점","산림청에 바라는 점_없음","가중치"
10,2,1,1,4,2,1,,2,,2,0,,,,,825,0,,,3,2,12000,3577.45,3077.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,2000,,,62,,,1500,,,500,,,1,,,2,,0,0,0,0,10,90,0,50,0,0,,50,0,0,,4,100,0,0,0,2,,2760,0,30,30,0,0,200,0,1,2,3,4,,,,8,,,,,3,0,1,1,5,0,300,50,140,0,0,0,1,50,50,0,0,0,0,4,,1,3,3,3,,4,2,5,2,2,,,,,,3,2,,,,,,,,,9,,,,,,506,,3.8
10,2,2,1,4,2,2,1,2,,2,0,,,,,2310,0,,,3,2,40000,2500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,999,,,,1,,2000,,,,1,,,,,2,,0,0,0,0,0,100,0,20,0,0,,80,0,0,,4,100,0,0,0,2,,1500,0,30,100,0,0,200,0,1,2,3,4,,6,7,8,9,,,9997,0,20,1,1,0,10,200,200,0,90,0,0,1,100,0,0,0,0,0,3,,,3,3,2,,,2,2,1,1,1,,3,4,,6,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,2,2,1,4,3,2,1,1,2,2,0,,,,,635,0,,,3,3,2000,5000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,1100,,,,1,,1000,,,,1,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,,400,0,20,20,0,0,0,0,,,3,,,,,8,,,,,0,0,1,1,0,0,60,60,0,0,0,0,,100,0,0,0,0,0,3,,,2,2,2,,,2,2,3,2,,,,,,6,2,,,,,,,,,,,,,,9998,98,9998,17.78571
10,3,1,1,3,1,1,,2,,2,0,0,0,990,0,,,5400,2,,,,2000,2000,1420,,,1420,,,,1,,2000,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,80,0,0,,20,0,0,,2,100,0,0,0,3,3,700,55,5,20,0,0,52,0,1,2,,4,5,,,8,,,,,2,4,1,0,1,1,160,0,100,80,0,0,1,100,0,0,0,0,0,2,1,,1,1,1,3,,2,5,2,1,,,3,,,5,2,,,,,,,,,,,,,,9998,98,9998,3.8
10,3,1,1,4,2,1,,2,,2,0,0,0,2310,0,,,3000,2,,,,1100,1100,700,,,700,,,,1,,1100,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,10,0,,90,0,0,,3,100,0,0,0,2,3,500,130,0,45,0,0,0,0,1,,3,4,5,,,8,,,,,0,0,1,1,0,0,90,90,0,0,0,0,,100,0,0,0,0,0,3,,,3,3,2,,,3,2,2,1,,,3,,,6,2,,,,,,,,,,,,,,9998,98,9998,3.8
10,3,2,1,4,4,2,1,1,2,1,2,0,825,0,825,,,80000,2,,,,8114.844,5594.2,1500,,,1000,,,500,,,1000,,,500,,,999,,,500,,,500,,,500,,,500,,,,,,,,,,,,,,,,,,3,2,9997,1,100,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,1,500,80,0,0,0,0,0,0,1,2,3,4,5,6,,8,9,,,,0,0,2,1,0,0,90,90,0,0,0,0,,50,50,0,0,0,0,3,,,2,2,2,,,2,3,5,2,,,,,,9,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,3,3,1,3,1,3,1,1,1,2,0,0,0,1980,0,,,3200,2,,,,4000,1000,750,,,750,,,,1,,1000,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,1,750,50,5,45,0,0,70,0,1,2,3,4,5,,,8,9,,,,0,10,1,1,0,5,50,30,0,70,0,0,2,100,0,0,0,0,0,4,,6,3,3,2,,,2,3,2,1,,,3,4,,5,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,3,3,1,4,1,3,6,2,,2,0,0,0,660,0,,,320,2,,,,3000,500,370,,,340,,,,1,,500,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,1,4,360,40,10,10,0,0,80,0,1,2,3,4,,,,8,,,,,0,10,1,1,0,1,60,60,0,100,0,0,1,20,0,0,80,0,0,2,1,,1,1,2,,,2,5,2,2,,,,,,1,2,,,,,,,,,9,,,,,,576,,17.78571
10,3,3,2,4,1,3,6,2,,2,0,0,0,330,0,,,200,2,,,,3500,54,150,,,60,,,0,,,54,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,1,4,0,0,0,5,0,0,0,0,1,2,3,,,,,8,,,,,0,0,1,0,0,0,35,0,0,0,0,0,,100,0,0,0,0,0,3,,,3,3,3,,1,1,5,6,2,,,,,,10,2,,,,,,,,,,,,,,9998,98,9998,17.78571
11,1,3,1,4,2,3,1,2,,2,0,330,0,0,0,,,500,2,,,,800,0,30,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,0,3,0,0,,,,,,,,,,,,9997,0,0,1,1,0,0,15,5,0,0,0,0,,100,0,0,0,0,0,4,,6,2,2,2,,,2,6,1,2,,,,,,10,2,,,,,,,,,,,,,,9998,98,9998,17.625
11,1,3,1,5,2,3,1,1,1,2,0,330,0,660,0,,,600,2,,,,1000,200,250,,,200,,,,1,,200,,,,1,,10,,,4,,,,1,,8,,,,1,,,,,,,,,,,,,,,,,,,,1,6,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,1,0,0,5,5,0,0,0,0,1,2,3,4,,,7,,9,,,,0,0,1,1,0,0,30,15,0,0,0,0,,100,0,0,0,0,0,4,,1,3,3,3,,1,2,9997,1,2,,,,,,6,2,,,,,,,,,,,,,,9998,533,,17.625
11,1,3,1,5,4,3,6,1,1,2,0,1650,0,2080,0,,,7000,2,,,,1500,650,400,,,400,,,,1,,520,,,,1,,25,,,15,,,,1,,120,,,,1,,,,,,,,,,,,,,,,,,,,1,10,0,0,0,0,0,100,0,50,0,0,,50,0,0,,3,100,0,0,0,2,3,250,40,30,5,0,20,0,0,1,2,3,4,,,7,8,9,,,,0,0,1,1,0,0,60,20,0,0,0,0,,100,0,0,0,0,0,4,,6,3,3,3,,1,9997,5,1,2,,,,,,6,1,,,,,,,,,,,,,,9998,551,,17.625
11,2,1,1,2,1,1,,2,,2,0,,,,,1600,0,,,2,1.3,85000,12000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29750,,,29490,,,260,,,12000,,,,1,,,,,1,260,50,0,0,0,50,0,0,,,,,,,,,,100,0,0,0,2,,7225,0,50,200,200,0,5000,0,1,,3,,,,,8,,,,9997,1,1,1,1,340,340,360,180,70,70,0,0,4,100,0,0,0,0,0,4,,2,3,3,2,,,1,3,2,1,1,,,,,9,2,,,,,,,,,,,,,,9998,578,,8.8
11,2,1,1,3,1,1,,2,,2,0,,,,,2310,0,,,2,1.5,50000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,10000,,,,1,,5000,,,,1,,,,,2,,70,0,0,0,30,0,0,,,,,,,,,,100,0,0,0,2,,3500,0,50,200,0,0,100,0,,,3,,,,,8,,,,,0,1,1,1,0,10,300,180,80,80,0,0,1,100,0,0,0,0,0,4,,6,2,2,2,,,1,2,6,2,,,,,,5,2,,,,,,,,,,,,,,9998,532,,8.8
11,2,1,1,3,1,1,,2,,2,0,,,,,2777,0,,,2,1.3,120000,22000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,,,32400,,,3600,,,16200,,,1800,,,1,,,2,,0,0,0,10,90,0,0,,,,,,,,,,100,0,0,0,2,,10000,0,500,840,150,200,5000,0,1,,3,4,,,,8,,,,9997,1,1,1,1,360,360,360,90,60,60,0,0,4,100,0,0,0,0,0,5,,6,3,3,3,,3,9997,6,9997,2,,,,,,6,2,,,,,,,,,,,,,,9998,536,,8.8
11,2,1,1,3,2,1,,2,,2,0,,,,,826,0,,,2,1.3,30000,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,,,10500,,,,1,,5400,,,,1,,,,,2,,90,0,0,0,10,0,0,,,,,,,,,,100,0,0,0,2,,2400,0,70,180,0,300,200,0,,,3,,,,,8,,,,9997,0,2,1,0,0,15,360,0,0,65,0,0,3,100,0,0,0,0,0,5,,6,2,3,4,,1,1,6,9997,2,,,,,,6,2,,,,,,,,,,,,,,9998,532,,8.8
11,2,1,1,4,2,1,,2,,2,0,,,,,23000,0,,,2,2,55000,8000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,16000,,,,1,,8000,,,,1,,,,,2,,0,0,0,0,100,0,0,,,,,,,,,,100,0,0,0,2,,1000,500,500,500,0,100,350,0,1,2,3,4,,,,8,,,,9997,1,2,1,1,8,7,200,200,0,0,0,0,1,100,0,0,0,0,0,4,,1,3,3,2,,,2,9997,2,2,,,,,,2,1,,,,,,,,,,,,,,9998,98,9998,8.8
11,2,1,2,3,1,1,,2,,2,0,,,,,660,0,,,2,2,15000,1973.5753,1780.6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,2500,,,30,,,1500,,,150,,,3,2,,1,20,0,0,0,0,85,15,0,60,0,0,,40,0,0,,2,100,0,0,0,2,,1800,0,50,70,0,0,0,32,1,,3,,,,,,,,,9997,0,0,1,1,0,0,30,90,0,0,0,0,,54,46,0,0,0,0,4,,4,3,3,3,,1,3,2,2,1,,,3,,,6,2,,,,,5,,,,,,,,,,98,9998,8.8
11,2,2,1,3,2,2,5,2,,2,0,,,,,2645,0,,,2,1.3,40000,7000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,12000,,,,1,,6000,,,,1,,,,,2,,0,0,0,0,95,5,0,0,0,0,,100,0,0,,,100,0,0,0,2,,3400,0,350,960,360,500,0,0,,,3,,,,,8,,,,9997,0,0,1,1,0,0,240,150,0,0,0,0,,100,0,0,0,0,0,4,,4,3,3,2,,,3,2,4,2,,,,,,6,2,,,,,,,,,,,,,,9998,532,,17.625
11,2,2,1,3,2,2,6,2,,2,0,,,,,4959,0,,,2,1.3,120000,18000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000,,,29400,,,12600,,,12600,,,5400,,,1,,,2,,0,0,0,0,100,0,0,,,,,,,,,,100,0,0,0,2,,10200,0,1080,720,0,100,6000,0,1,,3,,,,,8,,,,9997,5,9,1,0,80,50,360,0,77,60,0,0,4,85,15,0,0,0,0,5,,6,3,3,3,,1,1,6,9997,2,,,,,,3,2,,,,,,,,,,10,,,,,618,,17.625
