"연령별","지역별","규모별","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","재배봉수_계","전/겸업별","배지구입비_만봉당","농약비_만봉당","수도광열비_만봉당","제재료비_만봉당","소농구비_만봉당","수선비_만봉당","임차료_만봉당","위탁영농비_만봉당","기타비용_만봉당","기계_감가상각비_만봉당","시설물_감가상각비_만봉당","감가상각비_만봉당","자동차비_만봉당","자가토지용역비_만봉당","임차토지용역비_만봉당","토지용역비_만봉당","자가노동비_만봉당","고용노동비_만봉당","급식물비_만봉당","노동비_만봉당","경영비","고정자본용역비_만봉당","유동자본용역비_만봉당","자본용역비_만봉당","생표고_소계 수량_만봉당","건표고_소계(생표고 기준) 수량_만봉당","총 생산량(생표고 기준)_만봉당","생표고_소계(생표고 기준) 평가액_만봉당","건표고_소계(생표고 기준) 평가액_만봉당","총 평가액(생표고 기준)_만봉당","부산물 생산량_만봉당","총 노동시간_보통자가_만봉당","총 노동시간_보통자가_남_만봉당","총 노동시간_보통자가_여_만봉당","총 노동시간_보통고용_만봉당","총 노동시간_보통고용_남_만봉당","총 노동시간_보통고용_여_만봉당","총 노동시간_특수자가_만봉당","총 노동시간_특수고용_만봉당","총 노동시간_합계_만봉당","간벌_시간_만봉당","건조_시간_만봉당","경운_시간_만봉당","관수(살수)_시간_만봉당","두둑_시간_만봉당","멀칭_시간_만봉당","배수로 정비 및 관리_시간_만봉당","병해충방제_시간_만봉당","보식작업_시간_만봉당","선별_시간_만봉당","수확 및 운반_시간_만봉당","시비_시간_만봉당","시설물 보수_시간_만봉당","식재(조림)_시간_만봉당","열매솎기(적과)_시간_만봉당","인공교배 또는 수정_시간_만봉당","재배지 정리_시간_만봉당","전정_시간_만봉당","접목 및 관리_시간_만봉당","정지_시간_만봉당","제초_시간_만봉당","종묘 이식_시간_만봉당","차광막 설치_시간_만봉당","채종_시간_만봉당","꽃눈솎기(적뢰)_시간_만봉당","출하_시간_만봉당","지주세우기_시간_만봉당","일반관리_시간_만봉당","파종_시간_만봉당","표고목 눕히기_시간_만봉당","표고목 뒤집기_시간_만봉당","표고목 벌채_시간_만봉당","표고목 세우기_시간_만봉당","표고목 폐기_시간_만봉당","버섯발생작업_시간_만봉당","재배장 소독_시간_만본당","종균접종_시간_만봉당","천공작업_시간_만봉당","표고세척_시간_만봉당","배지하역_시간_만봉당","배지비닐 개봉_시간_만봉당","갈변처리_시간_만봉당","봉지 뒤집기_시간_만봉당","배지운반^쌓기_시간_만봉당","배지 폐기_시간_만봉당","기타_시간_만봉당","내급비","소득","직접생산비","간접생산비","생산비 합계_만봉당","순수익","가중치"
2,34,2,0.07,0.07,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,25000,2,10400000,0,1613860,100600,0,0,0,0,18000,1129786.66666667,8031200,9160986.66666667,297500,340000,0,340000,8084256,1016000,0,9100256,22606946.6666667,599576.348171333,117444.5154214,717020.863592733,4912,0,4912,22928000,0,22928000,0,600.8,277.6,323.2,76.8,32,44.8,0,0,677.6,0,0,0,4.8,0,0,0,0,0,41.6,186.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.6,0,0,0,0,0,131.2,0,16,48,48,0,9141276.86359273,321053.333333336,30691202.6666667,1057020.86359273,31748223.5302594,-8820223.5302594,7.5
2,34,2,1.1,0,1.1,0,0,1.1,0,1.1,0,0,0,0,0,0,0,30500,1,11213114.7540984,0,1298032.78688525,76491.8032786885,0,52459.0163934426,0,414754.098360656,403278.68852459,1261092.89617486,2334894.61358314,3595987.509758,614754.098360656,983606.557377049,0,983606.557377049,4895307.54098361,537704.918032787,61639.3442622951,5494651.80327869,18212678.1159064,241088.420102654,84977.1655082623,326065.585610916,5718.68852459016,0,5718.68852459016,24527213.1147541,0,24527213.1147541,0,333.114754098361,238.688524590164,94.4262295081967,44.5901639344262,23.6065573770492,20.9836065573771,0,0,377.704918032787,0,0,0,31.4754098360656,0,0,0,0,0,13.1147540983607,120.655737704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86885245901639,0,0,0,0,0,0,115.409836065574,0,0,0,0,2.62295081967213,57.7049180327869,0,0,10.4918032786885,18.3606557377049,0,6260518.58601987,6314534.99884768,23163524.5589383,1309672.14298797,24473196.7019263,54016.4128278084,7.5
2,34,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,100000,1,14000000,0,842500,390000,0,0,0,0,0,2009650,1678571.42857143,3688221.42857143,0,170000,0,170000,3346813,1949000,281500,5577313,20973320.9136741,190550.67207,73829.60911145,264380.28118145,2793,0,2793,17423000,0,17423000,0,215.1,197.5,17.6,231.6,223.6,8,0,0,446.7,0,0,0,14,0,0,0,0,0,47.7,238.2,0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,52.4,0,9,0,24,0,3959093.79607878,-3550320.91367409,24498034.4285714,434380.28118145,24932414.7097529,-7509414.70975288,7.5
2,36,1,0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,12000,1,12000000,0,2708333.33333333,116666.666666667,0,416666.666666667,0,0,369075,7428333.33333333,3910651.62907268,11338984.962406,2237291.66666667,666666.666666667,0,666666.666666667,7473953.33333333,0,0,7473953.33333333,29187018.2957393,1590318.29907206,124431.73117175,1714750.03024381,6817.5,0,6817.5,43306783.3333333,0,43306783.3333333,0,555,249.166666666667,305.833333333333,0,0,0,0,0,555,0,0,0,5,0,0,0,0,0,61.6666666666667,194.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.333333333333,0,0,0,0,0,0,52.5,0,0,0,0,10,106.666666666667,0,0,0,16.6666666666667,0,9855370.03024381,14119765.037594,36660971.6290727,2381416.69691047,39042388.3259832,4264395.00735018,5.83333333333333
2,36,2,0.11,0.11,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,32760,1,19760683.7606838,0,717185.592185592,0,61050.061050061,457875.457875458,0,0,184948.107448107,1207264.95726496,1549145.2991453,2756410.25641026,188568.376068376,366300.366300366,0,366300.366300366,6077820.81807082,982905.982905983,6105.00610500611,7066831.80708181,25110477.4571411,184984.053573464,92022.743738141,277006.797311605,8423.99267399267,32.6923076923077,8456.68498168498,70798076.9230769,653846.153846154,71451923.0769231,0,391.941391941392,343.101343101343,48.8400488400488,72.3443223443224,65.018315018315,7.32600732600733,2.74725274725275,0,467.032967032967,0,0,0,2.44200244200244,0,0,0,0,0,133.089133089133,143.467643467643,0,0,0,0,0,0,0,0,0,2.74725274725275,0,0,0,0,0,0,102.258852258852,0,0,0,0,0,0,12.2100122100122,0,0,0,0,30.8302808302808,11.2942612942613,0,0,0,28.6935286935287,0,6726383.12527428,46341445.619782,31193553.4188034,643307.163611971,31836860.5824154,39615062.4945077,5.83333333333333
2,36,3,0.48,0,0.48,0,0,0.48,0,0.48,0,0,0,0,0,0,0,48000,1,13845083.3333333,0,1222420.83333333,2424222.91666667,0,19375,0,0,266435.416666667,2104079.86111111,10739254.3859649,12843334.247076,191406.25,208333.333333333,0,208333.333333333,5854762.08333333,4472916.66666667,0,10327678.75,35285194.6637427,935065.911734969,154603.370035979,1089669.28177095,5748.54166666667,0,5748.54166666667,40622518.3333333,0,40622518.3333333,0,367.708333333333,367.708333333333,0,447.291666666667,447.291666666667,0,0,0,815,0,0,0,0,0,0,0,0,0,8.33333333333333,460.208333333333,0,9.16666666666667,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,155.208333333333,0,0,0,0,0,0,40,0,0,0,0,52.0833333333333,19.5833333333333,0,1.25,0,60.8333333333333,0,7152764.69843761,5337323.66959064,41139956.747076,1298002.61510428,42437959.3621803,-1815441.02884696,5.83333333333333
2,37,2,0.4,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,30000,1,0,0,414756.666666667,1141666.66666667,0,0,0,0,46666.6666666667,0,0,0,0,0,226666.666666667,226666.666666667,7754862.66666667,0,0,7754862.66666667,1829756.66666667,0,101455.647528567,101455.647528567,10533.3333333333,0,10533.3333333333,76816666.6666667,0,76816666.6666667,0,561,266.666666666667,294.333333333333,0,0,0,0,0,561,0,0,0,1,0,0,0,0,0,10,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7856318.31419523,74986910,9357952.66666667,328122.314195233,9686074.9808619,67130591.6858048,4.85714285714286
2,99,1,0.3,0,0.3,0,0,0.3,0,0.3,0,0,0,0,0,0,0,16000,1,12500000,0,5768750,180312.5,0,0,0,912500,0,1740429.16666667,2780937.5,4521366.66666667,1050000,1031250,0,1031250,64493867.5,13826827.5,41250,78361945,38767038.9901238,405628.047546667,923963.440087375,1329591.48763404,11193.75,0,11193.75,137487500,0,137487500,0,4595,2371.25,2223.75,1005,517.5,487.5,0,0,5600,0,0,0,133.75,0,0,0,0,0,1710,3027.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,0,0,0,0,0,0,50,0,0,0,0,137.5,212.5,0,0,107.5,33.75,0,66888676.6641769,98720461.0098762,103294874.166667,2360841.48763404,105655715.654301,31831784.3456993,10.3076923076923
2,99,1,0.33,0.33,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,10000,2,13200000,0,757500,0,0,0,0,0,2000,66666.6666666667,2000000,2066666.66666667,0,400000,0,400000,9011695,4426638,0,13438333,20452804.6666667,91069.86,153927.93614445,244997.79614445,7058,0,7058,53319000,0,53319000,0,579,523,56,347,229,118,7,0,933,0,0,0,4,0,0,0,0,0,106,552,0,16,0,0,0,0,0,0,0,7,0,0,0,0,10,0,32,0,0,0,0,0,0,32,0,0,0,0,55,0,111,0,0,8,0,9656692.79614445,32866195.3333333,29464499.6666667,644997.79614445,30109497.4628111,23209502.5371889,10.3076923076923
2,99,2,0.18,0,0.18,0,0,0.18,0,0.18,0,0,0,0,0,0,0,25000,2,16400000,0,3604000,2020000,0,0,0,4467360,0,3148728,2241008,5389736,47040,600000,0,600000,31224142,7236000,340000,38800142,39228104.5625706,384326.460359867,530064.5526583,914391.013018167,10332,0,10332,93532000,0,93532000,0,2280.4,1044.4,1236,774.4,0,774.4,0,0,3054.8,0,0,0,84.4,0,0,0,0,0,644,1561.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,104,0,0,0,0,60.8,145.6,0,89.6,60.8,96,0,33014564.4504476,54303895.4374294,70728278,1514391.01301817,72242669.0130182,21289330.9869818,10.3076923076923
3,33,1,0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,5000,1,13000000,0,1295160,72000,0,600000,0,0,1525400,4859833.33333333,31004285.7142857,35864119.0476191,2520000,5950000,0,5950000,26411582,1052560,0,27464142,55929239.0476191,3221044.14775357,335621.7282383,3556665.87599187,2180,142.8,2322.8,21598400,999600,22598000,0,1776,1108,668,80,16,64,30,0,1886,0,0,0,150,0,0,0,0,0,142,872,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,64,24,0,236,0,0,0,35918247.8759919,-33331239.0476191,82340821.047619,9506665.87599187,91847486.9236109,-69249486.9236109,9.71428571428571
3,33,2,0.26,0,0.26,0,0,0.26,0,0.26,0,0,0,0,0,0,0,35000,1,12000000,0,1773714.28571429,514285.714285714,85714.2857142857,14285.7142857143,0,0,11428.5714285714,292857.142857143,3425102.04081633,3717959.18367347,342857.142857143,228571.428571429,0,228571.428571429,10283502.8571429,1076084.57142857,28571.4285714286,11388158.8571429,19539036.0178133,291357.17455102,149480.197244971,440837.371795992,3220,0,3220,15934285.7142857,0,15934285.7142857,0,731.142857142857,386,345.142857142857,100,11.4285714285714,88.5714285714286,0,0,831.142857142857,0,0,0,64.2857142857143,0,0,0,0,0,61.7142857142857,306.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,18.2857142857143,0,107.428571428571,27.4285714285714,9.14285714285714,0,10978776.5376562,-3604750.30352756,29848403.755102,669408.80036742,30517812.5554695,-14583526.8411837,9.71428571428571
