"재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","재배봉수_계","배지구입비_만봉당","농약비_만봉당","수도광열비_만봉당","제재료비_만봉당","소농구비_만봉당","수선비_만봉당","임차료_만봉당","위탁영농비_만봉당","기타비용_만봉당","기계_감가상각비_만봉당","시설물_감가상각비_만봉당","감가상각비_만봉당","자동차비_만봉당","자가토지용역비_만봉당","임차토지용역비_만봉당","토지용역비_만봉당","자가노동비_만봉당","고용노동비_만봉당","급식물비_만봉당","노동비_만봉당","경영비","고정자본용역비_만봉당","유동자본용역비_만봉당","자본용역비_만봉당","생표고_소계 수량_만봉당","건표고_소계(생표고 기준) 수량_만봉당","총 생산량(생표고 기준)_만봉당","생표고_소계(생표고 기준) 평가액_만봉당","건표고_소계(생표고 기준) 평가액_만봉당","총 평가액(생표고 기준)_만봉당","부산물 생산량_만봉당","총 노동시간_보통자가_만봉당","총 노동시간_보통자가_남_만봉당","총 노동시간_보통자가_여_만봉당","총 노동시간_보통고용_만봉당","총 노동시간_보통고용_남_만봉당","총 노동시간_보통고용_여_만봉당","총 노동시간_특수자가_만봉당","총 노동시간_특수고용_만봉당","총 노동시간_합계_만봉당","간벌_시간_만봉당","건조_시간_만봉당","경운_시간_만봉당","관수(살수)_시간_만봉당","두둑_시간_만봉당","멀칭_시간_만봉당","배수로 정비 및 관리_시간_만봉당","병해충방제_시간_만봉당","보식작업_시간_만봉당","선별_시간_만봉당","수확 및 운반_시간_만봉당","시비_시간_만봉당","시설물 보수_시간_만봉당","식재(조림)_시간_만봉당","열매솎기(적과)_시간_만봉당","인공교배 또는 수정_시간_만봉당","재배지 정리_시간_만봉당","전정_시간_만봉당","접목 및 관리_시간_만봉당","정지_시간_만봉당","제초_시간_만봉당","종묘 이식_시간_만봉당","차광막 설치_시간_만봉당","채종_시간_만봉당","꽃눈솎기(적뢰)_시간_만봉당","출하_시간_만봉당","지주세우기_시간_만봉당","일반관리_시간_만봉당","파종_시간_만봉당","표고목 눕히기_시간_만봉당","표고목 뒤집기_시간_만봉당","표고목 벌채_시간_만봉당","표고목 세우기_시간_만봉당","표고목 폐기_시간_만봉당","버섯발생작업_시간_만봉당","재배장 소독_시간_만본당","종균접종_시간_만봉당","천공작업_시간_만봉당","표고세척_시간_만봉당","배지하역_시간_만봉당","배지비닐 개봉_시간_만봉당","갈변처리_시간_만봉당","봉지 뒤집기_시간_만봉당","배지운반^쌓기_시간_만봉당","배지 폐기_시간_만봉당","기타_시간_만봉당","내급비","소득","직접생산비","간접생산비","생산비 합계_만봉당","순수익","가중치"
0.02,0,0,0.02,0,0.02,0,0,0.02,0,0,0,0,0,0,10000,7397500,0,168600,113080,0,0,0,0,0,162528.333333333,2623531.02,2786059.35333333,164512.166666667,738060,0,738060,3986994,42788,0,4029782,10672539.52,306544.6784592,52384.2633,358928.9417592,518,0,518,5597200,0,5597200,0,357,41,316,4,0,4,0,0,361,0,0,0,28,0,0,0,0,0,47,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,8,18,9,32,21,33,0,5083982.9417592,-5075339.52,14659533.52,1096988.9417592,15756522.4617592,-10159322.4617592,5.875
0.02,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0,0,50000,0,0,720744,0,0,0,0,0,988,122741.333333333,2352334.69263158,2475076.02596491,159126.333333333,0,260208,260208,8398815.4,0,0,8398815.4,3616142.35929825,71880.2732098421,110814.65091,182694.924119842,2828.8,0,2828.8,26532005.8,0,26532005.8,0,654.4,322,332.4,0,0,0,0,0,654.4,0,0,0,12,0,0,0,0,0,136.4,312.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,0,156.8,0,0,0,8581510.32411984,22915863.4407018,11754749.7592982,442902.924119842,12197652.6834181,14334353.1165819,4.85714285714286
0.02,0,0.02,0,0,0.02,0,0.02,0,0,0,0,0,0,0,15000,18131066.6666667,0,17560,0,0,0,0,0,8553.33333333333,17336.6666666667,855087.333333333,872424,0,34733.3333333333,0,34733.3333333333,1272065.33333333,0,0,1272065.33333333,19029604,131878.2627,15772.8708,147651.1335,1356,114.24,1470.24,9698022.66666667,731707.2,10429729.8666667,0,114.666666666667,14,100.666666666667,0,0,0,0,0,114.666666666667,0,0,0,0.666666666666667,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,9.33333333333333,0,16.6666666666667,0,0,0,1454449.80016667,-8599874.13333333,20301669.3333333,182384.466833333,20484053.8001667,-10054323.9335,9.06666666666667
0.033,0,0.033,0,0,0,0,0,0,0,0.033,0,0.033,0,0,10000,0,0,31620,0,0,0,0,0,0,52009,178660.381578947,230669.381578947,0,0,390310,390310,2787628,0,0,2787628,652599.381578947,156750.786686842,34253.8632,191004.649886842,797,0,797,6874539,0,6874539,0,230,69,161,0,0,0,0,0,230,0,0,0,23,0,0,3,0,0,9,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,35,27,0,0,2978632.64988684,6221939.61842105,3049917.38157895,581314.649886842,3631232.03146579,3243306.96853421,17.4
0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,10000,20669400,0,834540,0,0,0,0,50740,0,4866665.83333333,1974034.62,6840700.45333333,740305,1024600,0,1024600,9033589,661056,0,9694645,29796741.4533333,909564.9365718,128546.08875,1038111.0253218,623,0,623,5161674,0,5161674,0,726,302,424,44,44,0,0,0,770,0,0,0,50,0,0,0,0,0,28,298,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,82,0,0,0,0,0,0,14,0,0,0,0,42,56,35,15,57,44,0,11096300.0253218,-24635067.4533333,38830330.4533333,2062711.0253218,40893041.4786551,-35731367.4786551,5.875
0.06,0,0.06,0,0,0.06,0,0.06,0,0,0,0,0,0,0,18000,0,0,2396588.88888889,81766.6666666667,0,1405977.77777778,0,0,0,1869688.7962963,4172761.3968254,6042450.19312169,380815.277777778,574044.444444444,0,574044.444444444,6607096.11111111,0,0,6607096.11111111,10307598.8042328,995814.203175,127470.86775,1123285.070925,2367.77777777778,0,2367.77777777778,9434842.77777778,0,9434842.77777778,0,480,332.222222222222,147.777777777778,0,0,0,0,0,480,0,0,0,6.66666666666667,0,0,0,0,0,15.5555555555556,106.111111111111,0,123.888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4444444444444,0,0,0,0,0,93.3333333333333,0,45,0,0,0,8304425.62648056,-872756.026455024,16914694.9153439,1697329.51536944,18612024.4307134,-9177181.65293558,7.5
0.066,0.066,0,0,0,0,0,0,0,0,0.066,0.066,0,0,0,12000,0,0,109758.333333333,0,0,0,0,0,0,95350,763470.571428571,858820.571428571,0,0,487891.666666667,487891.666666667,8415720,299731.666666667,0,8715451.66666667,1756202.23809524,234574.9318125,107226.3015,341801.2333125,2758.33333333333,130.9,2889.23333333333,24808491.6666667,1147993,25956484.6666667,0,598.333333333333,480,118.333333333333,24.1666666666667,24.1666666666667,0,0,0,622.5,0,0,0,64.1666666666667,0,0,10,0,0,67.5,331.666666666667,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3333333333333,0,0,31.6666666666667,4.16666666666667,0,8757521.2333125,24200282.4285714,9684030.57142857,829692.899979167,10513723.4714077,15442761.1952589,17.4
0.07,0,0.07,0,0,0.07,0,0.07,0,0,0,0,0,0,0,12000,60902250,0,1583333.33333333,0,0,0,0,21141.6666666667,269700,2689738.19444444,9792686.17957394,12482424.3740184,571222.777777778,144716.666666667,0,144716.666666667,12249964.1666667,1015095,68980.8333333333,13334040,76850445.8390702,1441436.64486968,184779.81225,1626216.45711968,11578.3333333333,119,11697.3333333333,40931097.5,788732,41719829.5,11929.1666666667,969.166666666667,467.5,501.666666666667,82.5,80.8333333333333,1.66666666666667,0,0,1051.66666666667,0,0,0,0,0,0,0,0,0,156.666666666667,645.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,77.5,0,0,0,0,0,0,0,0,0,0,0,123.333333333333,0,0,1.66666666666667,0,11.6666666666667,0,14084599.4365123,-35130616.3390702,89164112.1517962,1770933.12378635,90935045.2755825,-49215215.7755825,5
0.08,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0,0,10000,65632900,0,6493370,150770,0,0,0,0,20060,3288275,12645898.1736842,15934173.1736842,449837.916666667,1736600,0,1736600,20785643,79422,0,20865065,88760533.0903509,2252271.80415849,334480.56975,2586752.37390849,15251,0,15251,126263531,0,126263531,0,1457,1246,211,0,0,0,0,3,1460,0,0,0,102,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,25108995.3739085,37502997.9096491,109546176.090351,4323352.37390849,113869528.464259,12394002.5357406,5
0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,10000,18131100,0,495250,0,0,0,0,0,4940,90495.6666666667,8811391.56052632,8901887.22719298,0,369030,0,369030,17936356,0,0,17936356,27533177.227193,1332079.44628382,224004.0339,1556083.48018382,5740,0,5740,44848104,0,44848104,0,1391,700,691,0,0,0,0,0,1391,0,0,0,48,0,0,0,0,0,315,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,11,28,0,198,21,11,0,19861469.4801838,17314926.772807,45469533.227193,1925113.48018382,47394646.7073768,-2546542.7073768,4.85714285714286
