"재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","재배봉수_계","배지구입비_만봉당","농약비_만봉당","수도광열비_만봉당","제재료비_만봉당","소농구비_만봉당","수선비_만봉당","임차료_만봉당","위탁영농비_만봉당","기타비용_만봉당","기계_감가상각비_만봉당","시설물_감가상각비_만봉당","감가상각비_만봉당","자동차비_만봉당","자가토지용역비_만봉당","임차토지용역비_만봉당","토지용역비_만봉당","자가노동비_만봉당","고용노동비_만봉당","급식물비_만봉당","노동비_만봉당","경영비","고정자본용역비_만봉당","유동자본용역비_만봉당","자본용역비_만봉당","생표고_소계 수량_만봉당","건표고_소계(생표고 기준) 수량_만봉당","총 생산량(생표고 기준)_만봉당","생표고_소계(생표고 기준) 평가액_만봉당","건표고_소계(생표고 기준) 평가액_만봉당","총 평가액(생표고 기준)_만봉당","부산물 생산량_만봉당","총 노동시간_보통자가_만봉당","총 노동시간_보통자가_남_만봉당","총 노동시간_보통자가_여_만봉당","총 노동시간_보통고용_만봉당","총 노동시간_보통고용_남_만봉당","총 노동시간_보통고용_여_만봉당","총 노동시간_특수자가_만봉당","총 노동시간_특수고용_만봉당","총 노동시간_합계_만봉당","간벌_시간_만봉당","건조_시간_만봉당","경운_시간_만봉당","관수(살수)_시간_만봉당","두둑_시간_만봉당","멀칭_시간_만봉당","배수로 정비 및 관리_시간_만봉당","병해충방제_시간_만봉당","보식작업_시간_만봉당","선별_시간_만봉당","수확 및 운반_시간_만봉당","시비_시간_만봉당","시설물 보수_시간_만봉당","식재(조림)_시간_만봉당","열매솎기(적과)_시간_만봉당","인공교배 또는 수정_시간_만봉당","재배지 정리_시간_만봉당","전정_시간_만봉당","접목 및 관리_시간_만봉당","정지_시간_만봉당","제초_시간_만봉당","종묘 이식_시간_만봉당","차광막 설치_시간_만봉당","채종_시간_만봉당","꽃눈솎기(적뢰)_시간_만봉당","출하_시간_만봉당","지주세우기_시간_만봉당","일반관리_시간_만봉당","파종_시간_만봉당","표고목 눕히기_시간_만봉당","표고목 뒤집기_시간_만봉당","표고목 벌채_시간_만봉당","표고목 세우기_시간_만봉당","표고목 폐기_시간_만봉당","버섯발생작업_시간_만봉당","재배장 소독_시간_만본당","종균접종_시간_만봉당","천공작업_시간_만봉당","표고세척_시간_만봉당","배지하역_시간_만봉당","배지비닐 개봉_시간_만봉당","갈변처리_시간_만봉당","봉지 뒤집기_시간_만봉당","배지운반^쌓기_시간_만봉당","배지 폐기_시간_만봉당","기타_시간_만봉당","내급비","소득","직접생산비","간접생산비","생산비 합계_만봉당","순수익","가중치"
0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,10000,14500000,0,421100,0,0,0,0,0,0,49500,7968947.36842105,8018447.36842105,0,425000,0,425000,12411836,0,0,12411836,22939547.3684211,1196623.35394737,168753.1084,1365376.46234737,6063,0,6063,41426850,0,41426850,0,995,497,498,0,0,0,0,0,995,0,0,0,46,0,0,0,0,0,193,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,8,0,8,0,0,0,0,0,0,12,32,0,84,12,0,0,14202212.4623474,18487302.6315789,35351383.368421,1790376.46234737,37141759.8307684,4285090.16923159,6.8
0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,10000,41418000,0,2092099,0,0,0,0,0,378377,3846333.33333333,5075000,8921333.33333333,617750,1275000,0,1275000,16544244,15663680,299400,32507324,69236846.5383181,959298.636666667,459958.07,1419256.70666667,15760,0,15760,82458551,0,82458551,0,1144,948,196,1346,1265,81,35,0,2525,0,0,0,12,0,0,0,0,0,294,1276,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,626,0,0,0,0,0,0,101,0,0,0,0,90,0,0,0,0,91,0,19392293.501682,13221704.4616819,85934883.3333333,2694256.70666667,88629140.04,-6170589.04000001,5.83333333333333
0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,20000,15500000,0,1934885,705712.5,0,44597,0,0,1056580,1477208.33333333,7803176.69172932,9280385.02506266,630000,1487500,0,1487500,10209013,3054540,19500,13283053,32211190.2923556,1246139.08159461,223876.481625,1470015.56321961,2607,85.68,2692.68,13605450,665990.64,14271440.64,10000,710,628,82,235.5,213.5,22,8.5,0,954,0,0,0,97.5,0,0,0,40,0,67,312,0,90.5,0,0,0,0,0,0,0,8.5,0,5,0,0,0,0,108,0,0,0,0,0,0,4,0,0,0,0,0,40,0,35,128,18.5,0,13181537.7959267,-17939749.6523556,42435212.5250627,2957515.56321961,45392728.0882823,-31121287.4482823,15.1111111111111
0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,28000,14500000,0,3138827.5,24665.3571428571,0,62592.8571428571,0,0,313699.285714286,2501190.47619048,4874436.09022556,7375626.56641604,328125,394642.857142857,0,394642.857142857,6108531.42857143,30663957.1428571,0,36772488.5714286,56407493.7092732,921183.659931078,530106.397464286,1451290.05739536,9783.92857142857,0,9783.92857142857,64566110.7142857,0,64566110.7142857,1071.42857142857,416.785714285714,416.785714285714,0,3135.35714285714,3135.35714285714,0,0,0,3552.14285714286,0,0,0,1.42857142857143,0,0,0,0,0,0,1453.21428571429,0,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397.85714285714,0,0,0,0,0,0,76.0714285714286,0,0,0,0,23.2142857142857,152.5,0,21.0714285714286,200,94.2857142857143,0,7954464.34310965,8158617.00501253,62516025.1378446,1845932.91453822,64361958.0523828,204152.66190289,5.83333333333333
0.13,0.13,0,0,0,0.13,0.13,0,0,0,0,0,0,0,0,20000,14500000,0,321875,0,0,0,0,0,3510,5405583.33333333,7669789.47368421,13075372.8070175,157500,637500,0,637500,9057715,208000,0,9265715,28266257.8070175,1581718.96995614,126122.965,1707841.93495614,4264,0,4264,28999300,0,28999300,0,725.5,363.5,362,16,16,0,0,0,741.5,0,0,0,23,0,0,0,0,0,146.5,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,5,0,0,0,0,0,0,16,40,0,64,16,0,0,11403056.9349561,733042.192982458,37323972.8070175,2345341.93495614,39669314.7419737,-10670014.7419737,6.8
0.14,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,20000,13500000,0,2240706.5,79432.5,0,1161500,0,0,273858,1207213.33333333,10039000,11246213.3333333,381500,850000,0,850000,7095261.5,4520000,36750,11652011.5,33417511.3458418,1182438.11558333,202608.736775,1385046.85235833,5904.5,0,5904.5,25469525,0,25469525,0,536,367,169,316,308,8,0,0,852,0,0,0,5.5,0,0,0,0,0,48,259.5,0,170,0,0,0,0,0,0,0,0,0,84,0,0,0,0,32,0,0,0,0,0,0,81.5,0,0,0,0,1,118,0,3,38,11.5,0,9352757.33984992,-7947986.34584175,40535221.8333333,2235046.85235833,42770268.6856917,-17300743.6856917,7.5
0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,23500,15500000,0,557257.446808511,0,0,0,0,0,995.744680851064,2009957.44680851,4826819.70884658,6836777.1556551,0,361702.127659574,0,361702.127659574,18052239.1489362,0,0,18052239.1489362,22895030.3471445,848563.178281075,244727.974276596,1093291.15255767,7901.27659574468,0,7901.27659574468,56168127.6595745,0,56168127.6595745,0,1451.91489361702,732.340425531915,719.574468085106,0,0,0,0,0,1451.91489361702,0,0,0,34.468085106383,0,0,0,0,0,432.765957446808,703.404255319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2127659574468,0,10.2127659574468,0,0,0,0,0,0,0.851063829787234,6.80851063829787,0,245.957446808511,5.95744680851064,1.27659574468085,0,19507232.4291534,33273097.31243,40947269.4960806,1454993.28021725,42402262.7762979,13765864.8832766,6.8
0.17,0.17,0,0,0,0,0,0,0,0,0.17,0.17,0,0,0,30000,18200000,0,1265416.66666667,520625,0,506000,0,0,4680,20166.6666666667,799333.333333333,819500,420000,0,486200,486200,7697733.66666667,5755866.66666667,83500,13537100.3333333,28014012.2180005,216080.8,208214.7593,424295.5593,2059.33333333333,0,2059.33333333333,17349366.6666667,0,17349366.6666667,0,597.666666666667,354.333333333333,243.333333333333,447.666666666667,431.666666666667,16,0,0,1045.33333333333,0,0,0,9.33333333333333,0,0,0,0,0,50.6666666666667,667.666666666667,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.666666666667,0,0,0,0,21.6666666666667,24,28.6666666666667,58.3333333333333,56,0,0,8169805.34129946,-10664645.5513339,35273322,910495.5593,36183817.5593,-18834450.8926333,15.1111111111111
0.2,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,23000,28195652.173913,0,2385247.82608696,92391.3043478261,0,0,281739.130434783,0,0,1210733.33333333,1934565.2173913,3145298.55072464,566086.956521739,434782.608695652,0,434782.608695652,19556428.6956522,1741015.65217391,26086.9565217391,21323531.3043478,36409564.1411358,417676.932173913,316690.260782609,734367.192956522,9067.39130434783,0,9067.39130434783,102430978.26087,0,102430978.26087,0,1523.04347826087,876.086956521739,646.95652173913,140,80,60,3.47826086956522,6.95652173913043,1673.47826086957,0,0,0,45.6521739130435,0,0,0,0,0,377.826086956522,922.173913043478,0,0,0,0,0,0,0,0,0,15.6521739130435,0,0,0,0,0,0,106.95652173913,0,0,0,0,0,0,37.3913043478261,0,0,0,0,35.6521739130435,40,4.78260869565217,16.9565217391304,55.6521739130435,14.7826086956522,0,20749532.9068932,66021414.1197338,55989947.2463768,1169149.80165217,57159097.048029,45271881.2128406,14.8888888888889
0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,20000,15500000,0,160339,0,0,0,0,0,0,132646.25,1193500,1326146.25,119700,4250,0,4250,4754270,0,0,4754270,17106185.25,220594.8268,64627.10835,285221.93515,4504.5,0,4504.5,23065275,0,23065275,0,388.5,175,213.5,0,0,0,0,0,388.5,0,0,0,3.5,0,0,0,0,0,39,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,5043741.93515,5959089.75,21860455.25,289471.93515,22149927.18515,915347.814849999,6.8
