"▣ 연령별","▣ 지역별","▣ 규모별","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","▣ 전/겸업별","배지구입비_만본당","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","골목 눕히기_시간_만본당","골목 뒤집기_시간_만본당","골목 벌채_시간_만본당","골목 세우기_시간_만본당","골목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","배지하역_시간_만본당","배지비닐 개봉_시간_만본당","갈변처리_시간_만본당","봉지 뒤집기_시간_만본당","배지운반^쌓기_시간_만본당","배지 폐기_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
2,34,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,100000,1,18000000,0,1191740,52000,0,72000,0,0,2050,2071833.33333333,2285714.28571429,4357547.61904762,0,246500,0,246500,2611526.5,2228400,141310,4981236.5,25968799.5996376,259216.39047619,78107.9286,337324.31907619,4325,0,4325,27781100,0,27781100,0,154.3,139.1,15.2,263.1,263.1,0,0,0,417.4,0,0,0,17.6,0,0,0,0.3,0,45.6,203,0,23.8,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,30.7,13,0,0,17.9,0,3271598.8384862,1812300.40036238,28656574.1190476,583824.31907619,29240398.4381238,-1459298.43812381,7.5
2,36,1,0.11,0.11,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,10000,1,23450000,0,1571000,18000,0,0,0,228800,404500,4515000,10368000,14883000,2125000,1740000,0,1740000,8128141,1541000,0,9669141,44221300,1159920.8,147453.8684,1307374.6684,8896,0,8896,66370700,0,66370700,0,444,444,0,117,77,40,17,0,578,28,0,0,0,0,0,0,0,0,159,152,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,56,0,0,0,0,47,59,0,0,0,36,28,11175515.6684,22149400,52349441,3047374.6684,55396815.6684,10973884.3316,5.83333333333333
2,36,1,0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,10000,1,18000000,0,279400,205000,0,0,0,0,434500,6291666.66666667,1586045.11278195,7877711.77944862,229500,1160000,0,1160000,1956732,0,0,1956732,27026111.7794486,1500056.52932331,35657.8368,1535714.36612331,1733,592.62,2325.62,20177200,8258838,28436038,0,121,68,53,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,44,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,18,4652446.36612331,1409926.22055138,28982843.7794486,2695714.36612331,31678558.1455719,-3242520.14557193,5.83333333333333
2,36,3,0.48,0,0.48,0,0,0.48,0,0.48,0,0,0,0,0,0,0,78800,1,22067005.0761421,0,1085634.5177665,145558.375634518,101078.680203046,215634.517766497,0,615697.969543147,117868.020304569,1513853.63790186,9384044.88378306,10897898.5216849,289086.294416244,184010.152284264,0,184010.152284264,5741241.24365482,3316852.79187817,0,9058094.03553299,38852314.7653397,1031032.83738534,140851.381269036,1171884.21865438,8396.82741116751,0,8396.82741116751,59780989.8477157,0,59780989.8477157,3604.06091370558,327.53807106599,327.53807106599,0,303.553299492386,303.553299492386,0,2.28426395939086,4.06091370558376,637.43654822335,19.5431472081218,0,0,0,0,0,0,0,0,13.4517766497462,414.340101522843,0,10.1522842639594,0,0,0,0,0,0,0,0,0,7.10659898477157,0,21.0659898477157,0,0,0,0,0,0,0,0,0,39.3401015228426,0,0,0,0,44.4162436548223,0,0,0,0.888324873096447,38.8324873096447,28.2994923857868,7097135.61459346,20928675.082376,44593556.0089946,1355894.37093864,45949450.3799332,13831539.4677825,5.83333333333333
2,37,2,0.4,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,30000,1,18000000,0,1809433.33333333,924666.666666667,0,0,0,0,43200,0,896000,896000,566666.666666667,0,106666.666666667,106666.666666667,10459769.6666667,0,0,10459769.6666667,22346633.3333333,175021.866666667,164139.663866667,339161.530533333,6886.33333333333,0,6886.33333333333,46600166.6666667,0,46600166.6666667,0,684.666666666667,322.666666666667,362,0,0,0,0,0,684.666666666667,0,0,0,9.33333333333333,0,0,0,0,0,0,675.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10798931.1972,24253533.3333333,32699736.3333333,445828.1972,33145564.5305333,13454602.1361333,4.85714285714286
2,99,2,0.2,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,23000,1,34347826.0869565,0,5846608.69565217,300869.565217391,0,0,55739.1304347826,0,428869.565217391,1305428.98550725,272347.826086957,1577776.8115942,1024420.28985507,693913.043478261,0,693913.043478261,41284515.6521739,198173.913043478,7347.82608695652,41490037.3913043,43780319.1605033,223351.028405797,596714.341913044,820065.370318841,4474.34782608696,0,4474.34782608696,67704000,0,67704000,0,2666.95652173913,1402.60869565217,1264.34782608696,12.1739130434783,12.1739130434783,0,0,1.30434782608696,2680.4347826087,0,0,0,26.9565217391304,0,0,0,0,0,916.95652173913,1542.17391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0869565217391,0,0,0,0,44.7826086956522,30.4347826086957,0,33.9130434782609,22.6086956521739,36.5217391304348,0,42805806.7895257,23923680.8394967,85072147.5362319,1513978.4137971,86586125.950029,-18882125.950029,17.4
3,33,1,0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,15000,1,10000000,0,587066.666666667,306000,0,289600,0,0,9600,813277.777777778,13228361.9047619,14041639.6825397,1094777.77777778,2900000,0,2900000,11319314,247333.333333333,0,11566647.3333333,26576017.4603175,1576573.84952381,161161.7336,1737735.58312381,1139.33333333333,0,1139.33333333333,8360733.33333333,0,8360733.33333333,0,673.333333333333,498.666666666667,174.666666666667,20.6666666666667,20.6666666666667,0,4,0,698,10,0,0,140.666666666667,0,0,0,0,0,45.3333333333333,236,0,0,0,0,0,4,0,0,0,4,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,120.666666666667,36.6666666666667,0,71.3333333333333,15957049.5831238,-18215284.1269841,37895331.4603175,4637735.58312381,42533067.0434413,-34172333.7101079,9.71428571428571
3,33,2,0.26,0,0.26,0,0,0.26,0,0.26,0,0,0,0,0,0,0,35000,1,9500000,0,1990571.42857143,324571.428571429,0,27428.5714285714,0,0,64600,292857.142857143,4384130.6122449,4676987.75510204,349714.285714286,331428.571428571,0,331428.571428571,16542919.7142857,523934.285714286,0,17066854,17457807.755102,469066.356462585,241477.915314286,710544.271776871,2790,0,2790,17690400,0,17690400,0,1037.42857142857,644,393.428571428571,46.5714285714286,0,46.5714285714286,0.285714285714286,0,1084.28571428571,0,0,0,156.285714285714,0,0,0,0,0,47.4285714285714,286,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,78.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2857142857143,139.142857142857,0,174.285714285714,16,16.8571428571429,125.428571428571,17584892.5574912,232592.244897958,34000727.4693878,1041972.84320544,35042700.3125932,-17352300.3125932,9.71428571428571
3,33,2,0.39,0,0.39,0,0,0.39,0,0.39,0,0,0,0,0,0,0,35000,1,9500000,3542.85714285714,1080628.57142857,380857.142857143,0,582857.142857143,0,0,3085.71428571429,570571.428571429,6088620.40816327,6659191.83673469,0,828571.428571429,0,828571.428571429,15378110.5714286,0,0,15378110.5714286,18210163.2653061,-608114.169795918,216120.6168,-391993.552995918,3534.57142857143,0,3534.57142857143,22524228.5714286,0,22524228.5714286,0,961.714285714286,585.428571428571,376.285714285714,0,0,0,0,0,961.714285714286,25.7142857142857,0,0,98.8571428571429,0,0,0,0,0,54,381.714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1428571428571,33.1428571428571,0,185.714285714286,18.8571428571429,0,104.285714285714,15814688.4470041,4314065.30612245,33588273.8367347,436577.87557551,34024851.7123102,-11500623.1408816,9.71428571428571
3,33,2,0.53,0,0.53,0,0,0.53,0,0.53,0,0,0,0,0,0,0,30000,1,10000000,0,2327700,726000,0,0,32033.3333333333,0,7200,574208.888888889,5878066.66666667,6452275.55555556,0,957666.666666667,0,957666.666666667,7525592.66666667,243000,0,7768592.66666667,19788208.8888889,724242.245066667,134682.9224,858925.167466667,1694,0,1694,17448200,0,17448200,0,427.333333333333,427.333333333333,0,14,14,0,1.66666666666667,2.33333333333333,445.333333333333,13.3333333333333,0,0,68.3333333333333,0,0,0,0,0,24,118.666666666667,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,10.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3333333333333,20,0,84.3333333333333,10.6666666666667,0,68.6666666666667,9342184.5008,-2340008.88888889,27313801.5555556,1816591.83413333,29130393.3896889,-11682193.3896889,9.71428571428571
