"지역구분","업종구분","경영형태","경영주 성별","연령","종사 기간별","전겸업 여부","겸업 주 업종","산림소유 여부","산림 규모별","재배지 면적","소유지 면적","임차지 면적","지목구성_재배지_전체","지목구성_재배지_논","지목구성_재배지_밭","지목구성_재배지_임야","지목구성_재배지_기타","지목구성_소유지_전체","지목구성_소유지_논","지목구성_소유지_밭","지목구성_소유지_임야","지목구성_소유지_기타","지목구성_임차지_전체","지목구성_임차지_논","지목구성_임차지_밭","지목구성_임차지_임야","지목구성_임차지_기타","재배본수","평균수령","재배지 운영 관리방식","가구총수입","임업총수입","생산량","생산량_포전판매","생산량_없음","판매량_원물","판매량_원물_포전판매","판매량_원물_없음","판매량_가공","판매량_가공_포전판매","판매량_가공_없음","판매수입_원물","판매수입_원물_포전판매","판매수입_원물_없음","판매수입_가공","판매수입_가공_포전판매","판매수입_가공_없음","판매 가공품 종류_1","판매 가공품 종류_2","판매 가공품 종류_3","주요 판매처 비율_농협","주요 판매처 비율_산림조합","주요 판매처 비율_수집상","주요 판매처 비율_가공업체","주요 판매처 비율_도소매상","주요 판매처 비율_직거래","주요 판매처 비율_기타","온라인_직거래 판매방법_전화주문","온라인_직거래 판매방법_인터넷주문","온라인_직거래 판매방법_기타온라인판매","오프라인_직거래 판매방법_직접판매","오프라인_직거래 판매방법_임산물축제","오프라인_직거래 판매방법_기타온라인판매","직거래 합계","판매대금 결제방법별 비중_1개월 이내 현금","판매대금 결제방법별 비중_후불","판매대금 결제방법별 비중_선도금","판매대금 결제방법별 비중_기타","재고량 여부","재고량","저장경험","판매 떫은감의 출하시기_수확 ~ 추석 이전","판매 떫은감의 출하시기_추석 연휴 판매","판매 떫은감의 출하시기_추석이후 ~ 12월 31일","판매 떫은감의 출하시기_1월 1일~설 이전","판매 떫은감의 출하시기_설 이후","저장 주된 목적","투입비용_비료비","투입비용_농약비","투입비용_기타재료비","투입비용_수도광열비","투입비용_임차료","투입비용_수선비","투입비용_인건비","투입비용_기타","투입비용_합계","보유 시설 및 장비_건조기","보유 시설 및 장비_경운기","보유 시설 및 장비_관리기","보유 시설 및 장비_관리사","보유 시설 및 장비_관정","보유 시설 및 장비_굴삭기","보유 시설 및 장비_기계톱","보유 시설 및 장비_다목적관리기","보유 시설 및 장비_동력분무기","보유 시설 및 장비_동력약제살포기","보유 시설 및 장비_드릴","보유 시설 및 장비_선별기","보유 시설 및 장비_소형 화물차","보유 시설 및 장비_소형트럭","보유 시설 및 장비_시설하우스","보유 시설 및 장비_예초기(예취기)","보유 시설 및 장비_온실","보유 시설 및 장비_운반차","보유 시설 및 장비_자동 접종기","보유 시설 및 장비_자동세척기","보유 시설 및 장비_(저온)저장고","보유 시설 및 장비_종균 성형기","보유 시설 및 장비_지게차","보유 시설 및 장비_창고","보유 시설 및 장비_천공기","보유 시설 및 장비_키크레인(트럭)","보유 시설 및 장비_탈피기","보유 시설 및 장비_트랙터","보유 시설 및 장비_항공방제","보유 시설 및 장비_수동분무기","보유 시설 및 장비_사륜오토바이","보유 시설 및 장비_SS기","보유 시설 및 장비_감타래","보유 시설 및 장비_전동가위","보유 시설 및 장비_기타","보유 시설 및 장비_없음","고용노동남성 총인원수","고용노동여성 총인원수","자가노동남성 총인원수","자가노동여성 총인원수","고용노동남성 1인당 평균작업일수","고용노동여성 1인당 평균작업일수","자가노동남성 1인당 평균작업일수","자가노동여성 1인당 평균작업일수","고용노동남성 1인당 하루평균노동비","고용노동여성 1인당 하루평균노동비","자가노동남성 1인당 하루평균노동비","자가노동여성 1인당 하루평균노동비","고용노동력 확보 지역","수확 방법","작업로 설치 여부","작업로 설치 면적","작업로 설치 예정 연도","작업로 설치 예정 면적","풀베기방식_기계사용","풀베기방식_제초제 사용","풀베기방식_초생재배","풀베기방식_기타","생산비 조달방법 비중_자부담","생산비 조달방법 비중_정부보조","생산비 조달방법 비중_정부융자","생산비 조달방법 비중_금융기관 융자","생산비 조달방법 비중_수집상 선도금","생산비 조달방법 비중_기타","재배업 전망","재배업 전망_좋아지는 이유","재배업 전망_나빠지는 이유","재배업 계획","재배업 계획_늘리려는 이유","재배업 계획_줄이거나 중단하려는 이유","3년간 생산량 변화","3년간 소득 변화","재배업 애로사항","수입 희망 금액","묘목 생산판매 여부","신규식재 의향","면적 증가 의향","선호 품종","작목 대체 계획","주 대체 작목","재배업 시 시급하게 필요한 사항","친환경 인증 등 공식인증 인증여부","받은 공식인증 종류_친환경인증","받은 공식인증 종류_지리적표시제","받은 공식인증 종류_GAP","받은 공식인증 종류_품질인증","받은 공식인증 종류_기타","사업정보 획득경로","임업경영체 등록여부","임업 관련 지원금 수혜 여부_산림경영기반조성(숲가꾸기 및 임도시설)","임업 관련 지원금 수혜 여부_산림경영기반조성(전문임업인기반조성)","임업 관련 지원금 수혜 여부_산양삼 생산","임업 관련 지원금 수혜 여부_귀산촌인 창업 및 주택구입 지원","임업 관련 지원금 수혜 여부_단기산림소득지원","임업 관련 지원금 수혜 여부_단기산림소득지원 관련 보조수반 융자사업","임업 관련 지원금 수혜 여부_조림목 묘목 생산","임업 관련 지원금 수혜 여부_목재이용활성화 지원","임업 관련 지원금 수혜 여부_임업인경영자금 지원","임업 관련 지원금 수혜 여부_임업인 재해복구 긴급지원","임업 관련 지원금 수혜 여부_산림소득 유통분야 공모사업","임업 관련 지원금 수혜 여부_임산물 수출지원","임업 관련 지원금 수혜 여부_임산물 판로지원 사업","임업 관련 지원금 수혜 여부_없음","산림청에 바라는 점","산림청에 바라는 점_1","가중치"
10,1,2,1,5,3,2,1,1,1,1650,1650,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,55,20,1,1583.775,539,1887,,,1700,,,25,,,230,,,70,,,1,2,,0,0,0,0,0,100,0,50,0,0,50,0,0,,100,0,0,0,2,,2,,,,,,,15,10,5,10,0,0,0,0,40,1,,,,,,,,,,,,13,,,16,,,,,21,,,,,,,,,,,,,,,,,,1,1,,,30,30,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,3,,,2,,,3,3,3,500,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,2,1,5,3,2,1,2,,6600,6600,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,170,20,1,1200,300,1500,,,1200,,,30,,,200,,,100,,,1,,,0,0,0,0,0,100,0,50,0,0,50,0,0,,100,0,0,0,2,,2,,,,,,,20,10,5,10,0,0,0,0,45,1,,,,,,,,9,,,,,,,16,,,,,,,,,,,,28,,,,,,,,,,,1,1,,,30,30,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,4,,1,2,,,3,3,2,500,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,4,2,3,1,2,,1320,1320,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,30,19,1,2000,250,1500,,,1050,,,60,,,150,,,100,,,1,,,0,0,0,0,0,100,0,90,0,0,10,0,0,,100,0,0,0,2,,2,,,,,,,10,10,1,5,0,0,0,0,26,1,,,,,,,,,,,,13,,,16,,,,,21,,,,,,,,,,,,,,,,,,1,1,,,30,30,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,3,,,2,,,3,3,2,300,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,5,2,3,1,1,2,1980,1980,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,35,12,1,1000,120,420,,,400,,,0,,1,50,,,0,,1,,,,0,0,0,0,0,100,0,100,0,0,0,0,0,,100,0,0,0,2,,2,,,,,,,10,5,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,16,,,,,,,,24,,,,,,,,,,,,,,,1,1,,,10,25,,,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,4,,7,2,,,3,3,2,200,3,2,2,2,2,,8,2,,,,,,10,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,5,3,3,1,2,,1650,1650,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,50,20,1,1200,50,500,,,400,,,100,,,50,,,0,,1,,,,0,0,0,0,0,100,0,50,0,0,50,0,0,,100,0,0,0,2,,2,,,,,,,10,5,1,3,0,0,0,0,19,,,,,,,,,9,,,,,,,16,,18,,,,,,,,,,,,,,,,,,,,,1,1,,,20,20,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,5,,7,3,,4,3,3,2,300,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,5,3,3,1,2,,2970,2970,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,50,20,1,2457.4165,119.7,800,,,780,,,0,,1,100,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,,100,0,0,0,2,,2,,,,,,,10,7,3,3,0,0,0,0,23,1,,,,,,,,,,,,,14,,16,,,,,21,,,,,,,,,,,,,,,,,,1,1,,,10,20,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,4,,1,2,,,3,3,2,200,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,5,3,3,1,2,,990,990,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,60,20,1,800,70,130,,,100,,,10,,,70,,,0,,1,,,,0,0,0,0,0,100,0,50,0,0,50,0,0,,100,0,0,0,2,,2,,,,,,,12,6,1,3,0,0,0,0,22,1,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,1,1,,,7,20,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,4,,1,2,,,3,3,2,100,3,2,2,2,2,,7,2,,,,,,3,2,,,,,,,,,,,,,,9998,,,55.225079
10,1,3,1,5,4,3,1,2,,3300,3300,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,70,19,1,688.72,107.8,480,,,400,,,5,,,60,,,5,,,1,,,0,0,0,0,0,100,0,100,0,0,0,0,0,,100,0,0,0,2,,2,,,,,,,10,5,0,5,0,0,0,0,20,,2,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,1,1,,,25,25,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,4,,1,3,,1,3,3,2,150,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,55.225079
11,1,1,1,2,2,1,,2,,2645,2645,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,60,17,1,350,350,975,,,300,,,675,,,50,,,300,,,1,,,10,0,0,0,0,90,0,0,0,0,0,0,100,,100,0,0,0,2,,1,0,0,0,100,0,3,20,40,20,0,0,1,0,10,91,,,,,,,,,9,,,,13,,,16,,,,,,,,,,,,,,,,,43,,,,,,2,1,,,40,30,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,5,,4,2,,,3,3,3,1000,3,2,2,2,2,,4,2,,,,,,6,2,,,,,,,,,,10,,,,,,,19.70237468
11,1,1,1,3,2,1,,2,,2640,2640,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,170,15,1,1500,250,2000,,,2000,,,0,,1,250,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,,100,0,0,0,2,,2,,,,,,,15,30,5,10,0,0,0,0,60,1,2,,,,,,,9,,,,,14,,16,,,,,21,,,,,,,,,,,,,,,,1,1,1,1,,,30,15,150,130,0,0,1,1,3,,,,1,2,,,100,0,0,0,0,0,5,,6,3,,1,3,3,2,1000,3,2,2,2,2,,7,1,,,,4,,7,2,,,,,,,,,,,,,,9998,,,19.70237468
